InputID,TargetID,Distance
109,"9449856",9956.38642340941
110,"9449856",10741.1399509541
111,"9449856",11559.2448188421
112,"9449746",9628.68778539079
113,"9449746",9262.47129475334
114,"9449746",8993.14842701436
115,"9449746",8829.59007548092
116,"9449834",8486.59674239301
117,"9449834",7486.30444957449
118,"9449834",6486.04492954638
119,"9449834",5485.83610919103
120,"9449834",4485.71190316643
121,"9449834",3485.74514444381
122,"9449834",2486.12582510683
123,"9449834",1487.55453579513
124,"9449834",496.396865502791
125,"9449834",530.655888113893
126,"9449834",1522.62141305209
127,"9449828",1177.23782557069
128,"9449828",1064.91542817446
129,"9449828",1698.17392065875
130,"9449828",2575.87621690889
131,"9449828",3519.66983242531
132,"9449828",4488.05158148742
133,"9449828",5467.97330746991
134,"9449828",6454.18089370681
135,"9449856",6382.94441884511
136,"9449856",5913.27940590461
137,"9449856",5585.10198729395
138,"9449856",5424.1545039409
139,"9449856",5445.28575510074
140,"9449856",5646.45187925257
141,"9449856",6009.60046031744
142,"9449856",6507.67036338456
143,"9449856",7112.37277019485
144,"9449856",7798.94327994727
145,"9449856",8547.67706124897
146,"9449856",9343.64206296209
147,"9449856",10175.7607998585
148,"9449856",11035.8581772776
149,"9449746",8726.40972580247
150,"9449746",8320.57517913463
151,"9449746",8019.68293979185
152,"9449746",7835.83155331994
153,"9449746",7777.32578353796
154,"9449834",7537.44954114157
155,"9449834",6545.01079177187
156,"9449834",5555.42815322835
157,"9449834",4570.55715300861
158,"9449834",3594.2730049584
159,"9449834",2636.1333808118
160,"9449834",1726.6137352288
161,"9449834",1007.36577363002
162,"9449834",1024.68123581225
163,"9449834",1756.91561837151
164,"9449828",2093.17845990603
165,"9449828",2032.1299084489
166,"9449828",2424.72725411034
167,"9449828",3103.32836500462
168,"9449828",3922.19148148764
169,"9449828",4810.20992120489
170,"9449828",5735.35067339394
171,"9449856",6220.47267999354
172,"9449856",5560.35749253656
173,"9449856",5014.22655928259
174,"9449856",4622.65702725386
175,"9449856",4426.85502994237
176,"9449856",4452.72168244673
177,"9449856",4696.59587011982
178,"9449856",5127.46454047736
179,"9449856",5703.10178070982
