point,longitude,latitude,grid_id,left_bound,top_bound,right_bound,bottom_bound
4396,-123.1868108,48.66808755,44,485958.5416,5391096.821,486958.5416,5390096.821
4397,-123.180078,48.66808755,44,485958.5416,5391096.821,486958.5416,5390096.821
4468,-123.1868108,48.67258744,44,485958.5416,5391096.821,486958.5416,5390096.821
4469,-123.180078,48.67258744,44,485958.5416,5391096.821,486958.5416,5390096.821
4252,-123.1868108,48.65908776,45,485958.5416,5390096.821,486958.5416,5389096.821
4253,-123.180078,48.65908776,45,485958.5416,5390096.821,486958.5416,5389096.821
4324,-123.1868108,48.66358765,45,485958.5416,5390096.821,486958.5416,5389096.821
4325,-123.180078,48.66358765,45,485958.5416,5390096.821,486958.5416,5389096.821
4108,-123.1868108,48.65008797,46,485958.5416,5389096.821,486958.5416,5388096.821
4109,-123.180078,48.65008797,46,485958.5416,5389096.821,486958.5416,5388096.821
4180,-123.1868108,48.65458787,46,485958.5416,5389096.821,486958.5416,5388096.821
4181,-123.180078,48.65458787,46,485958.5416,5389096.821,486958.5416,5388096.821
3964,-123.1868108,48.64108819,47,485958.5416,5388096.821,486958.5416,5387096.821
3965,-123.180078,48.64108819,47,485958.5416,5388096.821,486958.5416,5387096.821
4036,-123.1868108,48.64558808,47,485958.5416,5388096.821,486958.5416,5387096.821
4037,-123.180078,48.64558808,47,485958.5416,5388096.821,486958.5416,5387096.821
3820,-123.1868108,48.6320884,48,485958.5416,5387096.821,486958.5416,5386096.821
3821,-123.180078,48.6320884,48,485958.5416,5387096.821,486958.5416,5386096.821
3892,-123.1868108,48.6365883,48,485958.5416,5387096.821,486958.5416,5386096.821
3893,-123.180078,48.6365883,48,485958.5416,5387096.821,486958.5416,5386096.821
3676,-123.1868108,48.62308862,49,485958.5416,5386096.821,486958.5416,5385096.821
3677,-123.180078,48.62308862,49,485958.5416,5386096.821,486958.5416,5385096.821
3748,-123.1868108,48.62758851,49,485958.5416,5386096.821,486958.5416,5385096.821
3749,-123.180078,48.62758851,49,485958.5416,5386096.821,486958.5416,5385096.821
3532,-123.1868108,48.61408883,50,485958.5416,5385096.821,486958.5416,5384096.821
3533,-123.180078,48.61408883,50,485958.5416,5385096.821,486958.5416,5384096.821
3604,-123.1868108,48.61858872,50,485958.5416,5385096.821,486958.5416,5384096.821
3605,-123.180078,48.61858872,50,485958.5416,5385096.821,486958.5416,5384096.821
3388,-123.1868108,48.60508904,51,485958.5416,5384096.821,486958.5416,5383096.821
3389,-123.180078,48.60508904,51,485958.5416,5384096.821,486958.5416,5383096.821
3460,-123.1868108,48.60958894,51,485958.5416,5384096.821,486958.5416,5383096.821
3461,-123.180078,48.60958894,51,485958.5416,5384096.821,486958.5416,5383096.821
3244,-123.1868108,48.59608926,52,485958.5416,5383096.821,486958.5416,5382096.821
3245,-123.180078,48.59608926,52,485958.5416,5383096.821,486958.5416,5382096.821
3316,-123.1868108,48.60058915,52,485958.5416,5383096.821,486958.5416,5382096.821
3317,-123.180078,48.60058915,52,485958.5416,5383096.821,486958.5416,5382096.821
3100,-123.1868108,48.58708947,53,485958.5416,5382096.821,486958.5416,5381096.821
3101,-123.180078,48.58708947,53,485958.5416,5382096.821,486958.5416,5381096.821
3172,-123.1868108,48.59158937,53,485958.5416,5382096.821,486958.5416,5381096.821
3173,-123.180078,48.59158937,53,485958.5416,5382096.821,486958.5416,5381096.821
2956,-123.1868108,48.57808969,54,485958.5416,5381096.821,486958.5416,5380096.821
2957,-123.180078,48.57808969,54,485958.5416,5381096.821,486958.5416,5380096.821
3028,-123.1868108,48.58258958,54,485958.5416,5381096.821,486958.5416,5380096.821
3029,-123.180078,48.58258958,54,485958.5416,5381096.821,486958.5416,5380096.821
2812,-123.1868108,48.5690899,55,485958.5416,5380096.821,486958.5416,5379096.821
2813,-123.180078,48.5690899,55,485958.5416,5380096.821,486958.5416,5379096.821
2884,-123.1868108,48.57358979,55,485958.5416,5380096.821,486958.5416,5379096.821
2885,-123.180078,48.57358979,55,485958.5416,5380096.821,486958.5416,5379096.821
2668,-123.1868108,48.56009011,56,485958.5416,5379096.821,486958.5416,5378096.821
