id,left,top,right,bottom,name,length
678,502958.541599999996834,5386096.821000000461936,503958.541599999996834,5385096.820999999530613,,
679,502958.541599999996834,5385096.820999999530613,503958.541599999996834,5384096.821000000461936,,
680,502958.541599999996834,5384096.821000000461936,503958.541599999996834,5383096.821000000461936,,
681,502958.541599999996834,5383096.821000000461936,503958.541599999996834,5382096.821000000461936,,
682,502958.541599999996834,5382096.821000000461936,503958.541599999996834,5381096.820999999530613,,
683,502958.541599999996834,5381096.820999999530613,503958.541599999996834,5380096.821000000461936,,
684,502958.541599999996834,5380096.821000000461936,503958.541599999996834,5379096.821000000461936,,
685,502958.541599999996834,5379096.821000000461936,503958.541599999996834,5378096.821000000461936,,
686,502958.541599999996834,5378096.821000000461936,503958.541599999996834,5377096.820999999530613,,
687,502958.541599999996834,5377096.820999999530613,503958.541599999996834,5376096.821000000461936,,
701,502958.541599999996834,5363096.821000000461936,503958.541599999996834,5362096.821000000461936,,
702,502958.541599999996834,5362096.821000000461936,503958.541599999996834,5361096.820999999530613,,
703,502958.541599999996834,5361096.820999999530613,503958.541599999996834,5360096.821000000461936,,
704,503958.541599999996834,5397096.820999999530613,504958.541599999996834,5396096.821000000461936,,
705,503958.541599999996834,5396096.821000000461936,504958.541599999996834,5395096.821000000461936,,
706,503958.541599999996834,5395096.821000000461936,504958.541599999996834,5394096.821000000461936,,
707,503958.541599999996834,5394096.821000000461936,504958.541599999996834,5393096.820999999530613,,
708,503958.541599999996834,5393096.820999999530613,504958.541599999996834,5392096.821000000461936,,
709,503958.541599999996834,5392096.821000000461936,504958.541599999996834,5391096.821000000461936,,
710,503958.541599999996834,5391096.821000000461936,504958.541599999996834,5390096.821000000461936,,
711,503958.541599999996834,5390096.821000000461936,504958.541599999996834,5389096.820999999530613,,
712,503958.541599999996834,5389096.820999999530613,504958.541599999996834,5388096.821000000461936,,
713,503958.541599999996834,5388096.821000000461936,504958.541599999996834,5387096.821000000461936,,
714,503958.541599999996834,5387096.821000000461936,504958.541599999996834,5386096.821000000461936,,
715,503958.541599999996834,5386096.821000000461936,504958.541599999996834,5385096.820999999530613,,
716,503958.541599999996834,5385096.820999999530613,504958.541599999996834,5384096.821000000461936,,
717,503958.541599999996834,5384096.821000000461936,504958.541599999996834,5383096.821000000461936,,
718,503958.541599999996834,5383096.821000000461936,504958.541599999996834,5382096.821000000461936,,
719,503958.541599999996834,5382096.821000000461936,504958.541599999996834,5381096.820999999530613,,
720,503958.541599999996834,5381096.820999999530613,504958.541599999996834,5380096.821000000461936,,
721,503958.541599999996834,5380096.821000000461936,504958.541599999996834,5379096.821000000461936,,
722,503958.541599999996834,5379096.821000000461936,504958.541599999996834,5378096.821000000461936,,
723,503958.541599999996834,5378096.821000000461936,504958.541599999996834,5377096.820999999530613,,
724,503958.541599999996834,5377096.820999999530613,504958.541599999996834,5376096.821000000461936,,
725,503958.541599999996834,5376096.821000000461936,504958.541599999996834,5375096.821000000461936,,
726,503958.541599999996834,5375096.821000000461936,504958.541599999996834,5374096.821000000461936,,
727,503958.541599999996834,5374096.821000000461936,504958.541599999996834,5373096.820999999530613,,
728,503958.541599999996834,5373096.820999999530613,504958.541599999996834,5372096.821000000461936,,
729,503958.541599999996834,5372096.821000000461936,504958.541599999996834,5371096.821000000461936,,
730,503958.541599999996834,5371096.821000000461936,504958.541599999996834,5370096.821000000461936,,
731,503958.541599999996834,5370096.821000000461936,504958.541599999996834,5369096.820999999530613,,
732,503958.541599999996834,5369096.820999999530613,504958.541599999996834,5368096.821000000461936,,
733,503958.541599999996834,5368096.821000000461936,504958.541599999996834,5367096.821000000461936,,
739,503958.541599999996834,5362096.821000000461936,504958.541599999996834,5361096.820999999530613,,
740,503958.541599999996834,5361096.820999999530613,504958.541599999996834,5360096.821000000461936,,
741,504958.541599999996834,5397096.820999999530613,505958.541599999996834,5396096.821000000461936,,
742,504958.541599999996834,5396096.821000000461936,505958.541599999996834,5395096.821000000461936,,
743,504958.541599999996834,5395096.821000000461936,505958.541599999996834,5394096.821000000461936,,
744,504958.541599999996834,5394096.821000000461936,505958.541599999996834,5393096.820999999530613,,
745,504958.541599999996834,5393096.820999999530613,505958.541599999996834,5392096.821000000461936,,
746,504958.541599999996834,5392096.821000000461936,505958.541599999996834,5391096.821000000461936,,
747,504958.541599999996834,5391096.821000000461936,505958.541599999996834,5390096.821000000461936,,
748,504958.541599999996834,5390096.821000000461936,505958.541599999996834,5389096.820999999530613,,
749,504958.541599999996834,5389096.820999999530613,505958.541599999996834,5388096.821000000461936,,
750,504958.541599999996834,5388096.821000000461936,505958.541599999996834,5387096.821000000461936,,
751,504958.541599999996834,5387096.821000000461936,505958.541599999996834,5386096.821000000461936,,
752,504958.541599999996834,5386096.821000000461936,505958.541599999996834,5385096.820999999530613,,
753,504958.541599999996834,5385096.820999999530613,505958.541599999996834,5384096.821000000461936,,
754,504958.541599999996834,5384096.821000000461936,505958.541599999996834,5383096.821000000461936,,
755,504958.541599999996834,5383096.821000000461936,505958.541599999996834,5382096.821000000461936,,
756,504958.541599999996834,5382096.821000000461936,505958.541599999996834,5381096.820999999530613,,
757,504958.541599999996834,5381096.820999999530613,505958.541599999996834,5380096.821000000461936,,
758,504958.541599999996834,5380096.821000000461936,505958.541599999996834,5379096.821000000461936,,
759,504958.541599999996834,5379096.821000000461936,505958.541599999996834,5378096.821000000461936,,
760,504958.541599999996834,5378096.821000000461936,505958.541599999996834,5377096.820999999530613,,
761,504958.541599999996834,5377096.820999999530613,505958.541599999996834,5376096.821000000461936,,
762,504958.541599999996834,5376096.821000000461936,505958.541599999996834,5375096.821000000461936,,
763,504958.541599999996834,5375096.821000000461936,505958.541599999996834,5374096.821000000461936,,
764,504958.541599999996834,5374096.821000000461936,505958.541599999996834,5373096.820999999530613,,
765,504958.541599999996834,5373096.820999999530613,505958.541599999996834,5372096.821000000461936,,
766,504958.541599999996834,5372096.821000000461936,505958.541599999996834,5371096.821000000461936,,
767,504958.541599999996834,5371096.821000000461936,505958.541599999996834,5370096.821000000461936,,
768,504958.541599999996834,5370096.821000000461936,505958.541599999996834,5369096.820999999530613,,
769,504958.541599999996834,5369096.820999999530613,505958.541599999996834,5368096.821000000461936,,
770,504958.541599999996834,5368096.821000000461936,505958.541599999996834,5367096.821000000461936,,
771,504958.541599999996834,5367096.821000000461936,505958.541599999996834,5366096.821000000461936,,
772,504958.541599999996834,5366096.821000000461936,505958.541599999996834,5365096.820999999530613,,
773,504958.541599999996834,5365096.820999999530613,505958.541599999996834,5364096.821000000461936,,
774,504958.541599999996834,5364096.821000000461936,505958.541599999996834,5363096.821000000461936,,
775,504958.541599999996834,5363096.821000000461936,505958.541599999996834,5362096.821000000461936,,
776,504958.541599999996834,5362096.821000000461936,505958.541599999996834,5361096.820999999530613,,
777,504958.541599999996834,5361096.820999999530613,505958.541599999996834,5360096.821000000461936,,
778,505958.541599999996834,5397096.820999999530613,506958.541599999996834,5396096.821000000461936,,
779,505958.541599999996834,5396096.821000000461936,506958.541599999996834,5395096.821000000461936,,
780,505958.541599999996834,5395096.821000000461936,506958.541599999996834,5394096.821000000461936,,
781,505958.541599999996834,5394096.821000000461936,506958.541599999996834,5393096.820999999530613,,
782,505958.541599999996834,5393096.820999999530613,506958.541599999996834,5392096.821000000461936,,
783,505958.541599999996834,5392096.821000000461936,506958.541599999996834,5391096.821000000461936,,
784,505958.541599999996834,5391096.821000000461936,506958.541599999996834,5390096.821000000461936,,
785,505958.541599999996834,5390096.821000000461936,506958.541599999996834,5389096.820999999530613,,
786,505958.541599999996834,5389096.820999999530613,506958.541599999996834,5388096.821000000461936,,
787,505958.541599999996834,5388096.821000000461936,506958.541599999996834,5387096.821000000461936,,
788,505958.541599999996834,5387096.821000000461936,506958.541599999996834,5386096.821000000461936,,
789,505958.541599999996834,5386096.821000000461936,506958.541599999996834,5385096.820999999530613,,
790,505958.541599999996834,5385096.820999999530613,506958.541599999996834,5384096.821000000461936,,
791,505958.541599999996834,5384096.821000000461936,506958.541599999996834,5383096.821000000461936,,
792,505958.541599999996834,5383096.821000000461936,506958.541599999996834,5382096.821000000461936,,
793,505958.541599999996834,5382096.821000000461936,506958.541599999996834,5381096.820999999530613,,
794,505958.541599999996834,5381096.820999999530613,506958.541599999996834,5380096.821000000461936,,
795,505958.541599999996834,5380096.821000000461936,506958.541599999996834,5379096.821000000461936,,
796,505958.541599999996834,5379096.821000000461936,506958.541599999996834,5378096.821000000461936,,
797,505958.541599999996834,5378096.821000000461936,506958.541599999996834,5377096.820999999530613,,
798,505958.541599999996834,5377096.820999999530613,506958.541599999996834,5376096.821000000461936,,
799,505958.541599999996834,5376096.821000000461936,506958.541599999996834,5375096.821000000461936,,
800,505958.541599999996834,5375096.821000000461936,506958.541599999996834,5374096.821000000461936,,
801,505958.541599999996834,5374096.821000000461936,506958.541599999996834,5373096.820999999530613,,
802,505958.541599999996834,5373096.820999999530613,506958.541599999996834,5372096.821000000461936,,
803,505958.541599999996834,5372096.821000000461936,506958.541599999996834,5371096.821000000461936,,
804,505958.541599999996834,5371096.821000000461936,506958.541599999996834,5370096.821000000461936,,
805,505958.541599999996834,5370096.821000000461936,506958.541599999996834,5369096.820999999530613,,
806,505958.541599999996834,5369096.820999999530613,506958.541599999996834,5368096.821000000461936,,
807,505958.541599999996834,5368096.821000000461936,506958.541599999996834,5367096.821000000461936,,
808,505958.541599999996834,5367096.821000000461936,506958.541599999996834,5366096.821000000461936,,
809,505958.541599999996834,5366096.821000000461936,506958.541599999996834,5365096.820999999530613,,
810,505958.541599999996834,5365096.820999999530613,506958.541599999996834,5364096.821000000461936,,
811,505958.541599999996834,5364096.821000000461936,506958.541599999996834,5363096.821000000461936,,
812,505958.541599999996834,5363096.821000000461936,506958.541599999996834,5362096.821000000461936,,
813,505958.541599999996834,5362096.821000000461936,506958.541599999996834,5361096.820999999530613,,
814,505958.541599999996834,5361096.820999999530613,506958.541599999996834,5360096.821000000461936,,
815,506958.541599999996834,5397096.820999999530613,507958.541599999996834,5396096.821000000461936,,
816,506958.541599999996834,5396096.821000000461936,507958.541599999996834,5395096.821000000461936,,
817,506958.541599999996834,5395096.821000000461936,507958.541599999996834,5394096.821000000461936,,
818,506958.541599999996834,5394096.821000000461936,507958.541599999996834,5393096.820999999530613,,
819,506958.541599999996834,5393096.820999999530613,507958.541599999996834,5392096.821000000461936,,
820,506958.541599999996834,5392096.821000000461936,507958.541599999996834,5391096.821000000461936,,
821,506958.541599999996834,5391096.821000000461936,507958.541599999996834,5390096.821000000461936,,
