grid_id,left_bound,top_bound,right_bound,bottom_bound,latitude,longitude,lat_deg,long_deg,name,number,Direction,length(m),EW Joined layer_left,EW Joined layer_top,EW Joined layer_right,EW Joined layer_bottom,EW Joined layer_latitude,EW Joined layer_longitude,EW Joined layer_lat_deg,EW Joined layer_long_deg,EW Joined_name,EW Joined layer_number,EW Joined layer_Direction,EW Joined_length(m)
39,485958.5416,5396096.821,486958.5416,5395096.821,5395597,486459,48.713255,-123.184084,Boundary Pass,2,NS,5752.5306,485958.5416,5396096.821,486958.5416,5395096.821,5395597,486459,48.713255,-123.184084,Haro Strait,2,EW,18156.5558
40,485958.5416,5395096.821,486958.5416,5394096.821,5394597,486459,48.704259,-123.184051,Boundary Pass,2,NS,5752.5306,485958.5416,5395096.821,486958.5416,5394096.821,5394597,486459,48.704259,-123.184051,Haro Strait,5,EW,18042.9961
41,485958.5416,5394096.821,486958.5416,5393096.821,5393597,486459,48.695263,-123.184018,Boundary Pass,2,NS,5752.5306,485958.5416,5394096.821,486958.5416,5393096.821,5393597,486459,48.695263,-123.184018,Haro Strait,8,EW,21328.1144
42,485958.5416,5393096.821,486958.5416,5392096.821,5392597,486459,48.686267,-123.183985,Boundary Pass,2,NS,5752.5306,485958.5416,5393096.821,486958.5416,5392096.821,5392597,486459,48.686267,-123.183985,Haro Strait,11,EW,12330.0485
43,485958.5416,5392096.821,486958.5416,5391096.821,5391597,486459,48.677271,-123.183952,Provost Harbor,30,NS,1003.7539,485958.5416,5392096.821,486958.5416,5391096.821,5391597,486459,48.677271,-123.183952,Prevost Harbor,15,EW,1148.8544
44,485958.5416,5391096.821,486958.5416,5390096.821,5390597,486459,48.668275,-123.18392,Reid Harbor,31,NS,567.2228,485958.5416,5391096.821,486958.5416,5390096.821,5390597,486459,48.668275,-123.18392,Reid Harbor,20,EW,1407.2491
45,485958.5416,5390096.821,486958.5416,5389096.821,5389597,486459,48.659278,-123.183887,,,,,485958.5416,5390096.821,486958.5416,5389096.821,5389597,486459,48.659278,-123.183887,,,,
46,485958.5416,5389096.821,486958.5416,5388096.821,5388597,486459,48.650282,-123.183854,Haro Strait,33,NS,4730.6309,485958.5416,5389096.821,486958.5416,5388096.821,5388597,486459,48.650282,-123.183854,New Channel,29,EW,4735.1095
47,485958.5416,5388096.821,486958.5416,5387096.821,5387597,486459,48.641286,-123.183822,Haro Strait,33,NS,4730.6309,485958.5416,5388096.821,486958.5416,5387096.821,5387597,486459,48.641286,-123.183822,Haro Strait,37,EW,13616.3647
48,485958.5416,5387096.821,486958.5416,5386096.821,5386597,486459,48.63229,-123.183789,Haro Strait,33,NS,4730.6309,485958.5416,5387096.821,486958.5416,5386096.821,5386597,486459,48.63229,-123.183789,San Juan Channel,38,EW,19047.5694
49,485958.5416,5386096.821,486958.5416,5385096.821,5385597,486459,48.623294,-123.183756,Haro Strait,33,NS,4730.6309,485958.5416,5386096.821,486958.5416,5385096.821,5385597,486459,48.623294,-123.183756,Haro Strait,43,EW,11869.3063
50,485958.5416,5385096.821,486958.5416,5384096.821,5384597,486459,48.614298,-123.183724,,,,,485958.5416,5385096.821,486958.5416,5384096.821,5384597,486459,48.614298,-123.183724,,,,
51,485958.5416,5384096.821,486958.5416,5383096.821,5383597,486459,48.605302,-123.183691,,,,,485958.5416,5384096.821,486958.5416,5383096.821,5383597,486459,48.605302,-123.183691,,,,
52,485958.5416,5383096.821,486958.5416,5382096.821,5382597,486459,48.596305,-123.183658,Mosquito Pass,60,NS,894.0717,485958.5416,5383096.821,486958.5416,5382096.821,5382597,486459,48.596305,-123.183658,Mosquito Passage,59,EW,656.3516
53,485958.5416,5382096.821,486958.5416,5381096.821,5381597,486459,48.587309,-123.183626,,,,,485958.5416,5382096.821,486958.5416,5381096.821,5381597,486459,48.587309,-123.183626,,,,
54,485958.5416,5381096.821,486958.5416,5380096.821,5380597,486459,48.578313,-123.183593,Haro Strait,62,NS,47948.0208,485958.5416,5381096.821,486958.5416,5380096.821,5380597,486459,48.578313,-123.183593,Haro Strait,65,EW,14400.9546
55,485958.5416,5380096.821,486958.5416,5379096.821,5379597,486459,48.569317,-123.183561,Haro Strait,62,NS,47948.0208,485958.5416,5380096.821,486958.5416,5379096.821,5379597,486459,48.569317,-123.183561,Haro Strait,66,EW,6739.1938
56,485958.5416,5379096.821,486958.5416,5378096.821,5378597,486459,48.56032,-123.183528,Haro Strait,62,NS,47948.0208,485958.5416,5379096.821,486958.5416,5378096.821,5378597,486459,48.56032,-123.183528,Haro Strait,67,EW,7628.9329
57,485958.5416,5378096.821,486958.5416,5377096.821,5377597,486459,48.551324,-123.183495,Haro Strait,62,NS,47948.0208,485958.5416,5378096.821,486958.5416,5377096.821,5377597,486459,48.551324,-123.183495,Haro Strait,68,EW,14558.3196
58,485958.5416,5377096.821,486958.5416,5376096.821,5376597,486459,48.542328,-123.183463,Haro Strait,62,NS,47948.0208,485958.5416,5377096.821,486958.5416,5376096.821,5376597,486459,48.542328,-123.183463,Haro Strait,69,EW,14973.6448
59,485958.5416,5376096.821,486958.5416,5375096.821,5375597,486459,48.533332,-123.18343,Haro Strait,62,NS,47948.0208,485958.5416,5376096.821,486958.5416,5375096.821,5375597,486459,48.533332,-123.18343,Haro Strait,70,EW,14940.5461
60,485958.5416,5375096.821,486958.5416,5374096.821,5374597,486459,48.524335,-123.183398,Haro Strait,62,NS,47948.0208,485958.5416,5375096.821,486958.5416,5374096.821,5374597,486459,48.524335,-123.183398,Haro Strait,71,EW,15355.3347
61,485958.5416,5374096.821,486958.5416,5373096.821,5373597,486459,48.515339,-123.183365,Haro Strait,62,NS,47948.0208,485958.5416,5374096.821,486958.5416,5373096.821,5373597,486459,48.515339,-123.183365,Haro Strait,72,EW,15839.2669
62,485958.5416,5373096.821,486958.5416,5372096.821,5372597,486459,48.506343,-123.183333,Haro Strait,62,NS,47948.0208,485958.5416,5373096.821,486958.5416,5372096.821,5372597,486459,48.506343,-123.183333,Haro Strait,73,EW,15242.6105
63,485958.5416,5372096.821,486958.5416,5371096.821,5371597,486459,48.497346,-123.183301,Haro Strait,62,NS,47948.0208,485958.5416,5372096.821,486958.5416,5371096.821,5371597,486459,48.497346,-123.183301,Haro Strait,74,EW,14109.5066
64,485958.5416,5371096.821,486958.5416,5370096.821,5370597,486459,48.48835,-123.183268,Haro Strait,62,NS,47948.0208,485958.5416,5371096.821,486958.5416,5370096.821,5370597,486459,48.48835,-123.183268,Haro Strait,75,EW,14784.4771
65,485958.5416,5370096.821,486958.5416,5369096.821,5369597,486459,48.479354,-123.183236,Haro Strait,62,NS,47948.0208,485958.5416,5370096.821,486958.5416,5369096.821,5369597,486459,48.479354,-123.183236,Haro Strait,76,EW,17415.5094
66,485958.5416,5369096.821,486958.5416,5368096.821,5368597,486459,48.470357,-123.183203,Haro Strait,62,NS,47948.0208,485958.5416,5369096.821,486958.5416,5368096.821,5368597,486459,48.470357,-123.183203,Haro Strait,77,EW,17174.6275
67,485958.5416,5368096.821,486958.5416,5367096.821,5367597,486459,48.461361,-123.183171,Haro Strait,62,NS,47948.0208,485958.5416,5368096.821,486958.5416,5367096.821,5367597,486459,48.461361,-123.183171,Haro Strait,78,EW,17270.8059
68,485958.5416,5367096.821,486958.5416,5366096.821,5366597,486459,48.452364,-123.183139,Haro Strait,62,NS,47948.0208,485958.5416,5367096.821,486958.5416,5366096.821,5366597,486459,48.452364,-123.183139,Haro Strait,79,EW,21826.6995
69,485958.5416,5366096.821,486958.5416,5365096.821,5365597,486459,48.443368,-123.183106,Haro Strait,62,NS,47948.0208,485958.5416,5366096.821,486958.5416,5365096.821,5365597,486459,48.443368,-123.183106,Strait of Juan de Fuca,80,EW,25011.8293
70,485958.5416,5365096.821,486958.5416,5364096.821,5364597,486459,48.434371,-123.183074,Haro Strait,62,NS,47948.0208,485958.5416,5365096.821,486958.5416,5364096.821,5364597,486459,48.434371,-123.183074,Strait of Juan de Fuca,81,EW,25390.8147
71,485958.5416,5364096.821,486958.5416,5363096.821,5363597,486459,48.425375,-123.183042,Haro Strait,62,NS,47948.0208,485958.5416,5364096.821,486958.5416,5363096.821,5363597,486459,48.425375,-123.183042,Strait of Juan de Fuca,82,EW,25305.7346
72,485958.5416,5363096.821,486958.5416,5362096.821,5362597,486459,48.416378,-123.183009,Haro Strait,62,NS,47948.0208,485958.5416,5363096.821,486958.5416,5362096.821,5362597,486459,48.416378,-123.183009,Strait of Juan de Fuca,83,EW,46639.2741
73,485958.5416,5362096.821,486958.5416,5361096.821,5361597,486459,48.407382,-123.182977,Haro Strait,62,NS,47948.0208,485958.5416,5362096.821,486958.5416,5361096.821,5361597,486459,48.407382,-123.182977,Strait of Juan de Fuca,84,EW,48031.9372
