Date_Time (LST/LDT), Event, Speed (knots)
2020-03-07 20:48, slack,-
2020-03-08 02:01, flood,1.1
2020-03-08 06:16, slack,-
2020-03-08 07:52, ebb,-0.4
2020-03-08 11:24, slack,-
2020-03-08 15:07, flood,0.3
2020-03-08 16:58, slack,-
2020-03-08 19:22, ebb,-0.6
2020-03-08 22:42, slack,-
2020-03-09 03:43, flood,1.1
2020-03-09 06:52, slack,-
2020-03-09 08:22, ebb,-0.5
2020-03-09 11:54, slack,-
2020-03-09 16:01, flood,0.5
2020-03-09 18:10, slack,-
2020-03-09 20:16, ebb,-0.6
2020-03-09 23:30, slack,-
2020-03-10 04:25, flood,1.1
2020-03-10 07:28, slack,-
2020-03-10 09:04, ebb,-0.5
2020-03-10 12:30, slack,-
2020-03-10 16:49, flood,0.6
2020-03-10 19:10, slack,-
2020-03-10 21:16, ebb,-0.6
2020-03-11 00:30, slack,-
2020-03-11 05:13, flood,1.0
2020-03-11 08:04, slack,-
2020-03-11 09:40, ebb,-0.5
2020-03-11 13:06, slack,-
2020-03-11 17:37, flood,0.7
2020-03-11 20:16, slack,-
2020-03-11 22:10, ebb,-0.5
2020-03-12 01:24, slack,-
2020-03-12 06:01, flood,0.8
2020-03-12 08:40, slack,-
2020-03-12 10:28, ebb,-0.5
2020-03-12 13:54, slack,-
2020-03-12 18:31, flood,0.8
2020-03-12 21:22, slack,-
2020-03-12 23:16, ebb,-0.5
2020-03-13 02:24, slack,-
2020-03-13 06:49, flood,0.7
2020-03-13 09:22, slack,-
2020-03-13 11:16, ebb,-0.5
2020-03-13 14:42, slack,-
2020-03-13 19:31, flood,0.8
2020-03-13 22:28, slack,-
2020-03-14 00:22, ebb,-0.4
2020-03-14 03:30, slack,-
2020-03-14 07:43, flood,0.6
2020-03-14 10:04, slack,-
2020-03-14 12:10, ebb,-0.5
2020-03-14 15:36, slack,-
2020-03-14 20:31, flood,0.8
2020-03-14 23:40, slack,-
2020-03-15 01:28, ebb,-0.4
2020-03-15 04:42, slack,-
2020-03-15 08:43, flood,0.4
2020-03-15 10:52, slack,-
2020-03-15 13:04, ebb,-0.5
2020-03-15 16:36, slack,-
2020-03-15 21:37, flood,0.8
2020-03-16 00:58, slack,-
2020-03-16 02:46, ebb,-0.4
2020-03-16 06:00, slack,-
2020-03-16 09:43, flood,0.3
2020-03-16 11:40, slack,-
2020-03-16 14:04, ebb,-0.5
2020-03-16 17:36, slack,-
2020-03-16 22:49, flood,0.8
2020-03-17 02:10, slack,-
2020-03-17 04:04, ebb,-0.3
2020-03-17 07:30, slack,-
2020-03-17 10:55, flood,0.2
2020-03-17 12:34, slack,-
2020-03-17 15:10, ebb,-0.5
2020-03-17 18:36, slack,-
2020-03-17 23:49, flood,0.9
2020-03-18 03:16, slack,-
2020-03-18 05:16, ebb,-0.3
2020-03-18 08:54, slack,-
2020-03-18 12:07, flood,0.2
2020-03-18 13:34, slack,-
2020-03-18 16:16, ebb,-0.4
2020-03-18 19:36, slack,-
2020-03-19 00:49, flood,0.9
2020-03-19 04:10, slack,-
2020-03-19 06:16, ebb,-0.4
2020-03-19 09:54, slack,-
2020-03-19 13:13, flood,0.2
2020-03-19 14:46, slack,-
2020-03-19 17:16, ebb,-0.4
2020-03-19 20:30, slack,-
2020-03-20 01:37, flood,0.9
2020-03-20 04:58, slack,-
2020-03-20 07:04, ebb,-0.4
2020-03-20 10:36, slack,-
2020-03-20 14:07, flood,0.2
2020-03-20 15:58, slack,-
2020-03-20 18:16, ebb,-0.4
2020-03-20 21:24, slack,-
2020-03-21 02:19, flood,0.9
2020-03-21 05:34, slack,-
2020-03-21 07:40, ebb,-0.4
2020-03-21 11:12, slack,-
2020-03-21 14:55, flood,0.3
2020-03-21 16:58, slack,-
2020-03-21 19:04, ebb,-0.4
2020-03-21 22:06, slack,-
2020-03-22 03:01, flood,0.8
2020-03-22 06:04, slack,-
2020-03-22 08:10, ebb,-0.4
2020-03-22 11:36, slack,-
2020-03-22 15:37, flood,0.4
2020-03-22 17:52, slack,-
2020-03-22 19:52, ebb,-0.4
2020-03-22 22:54, slack,-
2020-03-23 03:37, flood,0.7
2020-03-23 06:28, slack,-
2020-03-23 08:28, ebb,-0.4
2020-03-23 12:00, slack,-
2020-03-23 16:13, flood,0.5
2020-03-23 18:46, slack,-
2020-03-23 20:40, ebb,-0.4
2020-03-23 23:36, slack,-
2020-03-24 04:07, flood,0.6
2020-03-24 06:52, slack,-
2020-03-24 08:46, ebb,-0.4
2020-03-24 12:24, slack,-
2020-03-24 16:49, flood,0.6
2020-03-24 19:28, slack,-
2020-03-24 21:22, ebb,-0.4
2020-03-25 00:18, slack,-
2020-03-25 04:43, flood,0.6
2020-03-25 07:16, slack,-
2020-03-25 09:10, ebb,-0.4
2020-03-25 12:42, slack,-
2020-03-25 17:25, flood,0.6
2020-03-25 20:16, slack,-
2020-03-25 22:04, ebb,-0.4
2020-03-26 01:06, slack,-
2020-03-26 05:19, flood,0.5
2020-03-26 07:34, slack,-
2020-03-26 09:34, ebb,-0.4
2020-03-26 13:06, slack,-
2020-03-26 18:01, flood,0.6
2020-03-26 20:58, slack,-
2020-03-26 22:52, ebb,-0.4
2020-03-27 01:54, slack,-
2020-03-27 05:49, flood,0.4
2020-03-27 08:04, slack,-
2020-03-27 10:10, ebb,-0.4
2020-03-27 13:42, slack,-
2020-03-27 18:37, flood,0.7
2020-03-27 21:46, slack,-
2020-03-27 23:40, ebb,-0.4
2020-03-28 02:42, slack,-
2020-03-28 06:31, flood,0.3
2020-03-28 08:28, slack,-
2020-03-28 10:46, ebb,-0.4
2020-03-28 14:18, slack,-
2020-03-28 19:25, flood,0.7
2020-03-28 22:40, slack,-
2020-03-29 00:34, ebb,-0.3
2020-03-29 03:36, slack,-
2020-03-29 07:07, flood,0.2
2020-03-29 08:52, slack,-
2020-03-29 11:28, ebb,-0.5
2020-03-29 15:00, slack,-
2020-03-29 20:13, flood,0.7
2020-03-29 23:46, slack,-
2020-03-30 01:22, ebb,-0.3
2020-03-30 04:36, slack,-
2020-03-30 07:49, flood,0.1
2020-03-30 09:16, slack,-
2020-03-30 12:16, ebb,-0.5
2020-03-30 15:48, slack,-
