Date_Time (LST/LDT), Event, Speed (knots)
2020-03-09 15:00, slack,-
2020-03-09 16:30, flood,0.2
2020-03-09 18:06, slack,-
2020-03-09 22:54, ebb,-1.2
2020-03-10 02:12, slack,-
2020-03-10 04:36, flood,0.8
2020-03-10 07:42, slack,-
2020-03-10 11:48, ebb,-1.1
2020-03-10 15:36, slack,-
2020-03-10 17:06, flood,0.3
2020-03-10 19:00, slack,-
2020-03-10 23:36, ebb,-1.2
2020-03-11 02:54, slack,-
2020-03-11 05:12, flood,0.8
2020-03-11 08:18, slack,-
2020-03-11 12:24, ebb,-1.2
2020-03-11 16:06, slack,-
2020-03-11 17:42, flood,0.4
2020-03-11 19:48, slack,-
2020-03-12 00:24, ebb,-1.1
2020-03-12 03:36, slack,-
2020-03-12 05:54, flood,0.8
2020-03-12 08:48, slack,-
2020-03-12 13:06, ebb,-1.2
2020-03-12 16:36, slack,-
2020-03-12 18:24, flood,0.4
2020-03-12 20:42, slack,-
2020-03-13 01:06, ebb,-1.0
2020-03-13 04:30, slack,-
2020-03-13 06:36, flood,0.6
2020-03-13 09:18, slack,-
2020-03-13 13:48, ebb,-1.2
2020-03-13 17:12, slack,-
2020-03-13 19:06, flood,0.5
2020-03-13 21:24, slack,-
2020-03-14 02:00, ebb,-0.9
2020-03-14 05:24, slack,-
2020-03-14 07:24, flood,0.4
2020-03-14 09:42, slack,-
2020-03-14 14:24, ebb,-1.1
2020-03-14 17:54, slack,-
2020-03-14 19:48, flood,0.5
2020-03-14 22:12, slack,-
2020-03-15 02:48, ebb,-0.8
2020-03-15 06:36, slack,-
2020-03-15 08:12, flood,0.2
2020-03-15 09:54, slack,-
2020-03-15 15:06, ebb,-1.1
2020-03-15 18:48, slack,-
2020-03-15 20:36, flood,0.4
2020-03-15 23:00, slack,-
2020-03-16 03:36, ebb,-0.6
2020-03-16 08:18, slack,-
2020-03-16 09:36, slack,-
2020-03-16 15:54, ebb,-1.0
2020-03-16 19:54, slack,-
2020-03-16 21:30, flood,0.3
2020-03-17 00:06, slack,-
2020-03-17 04:48, ebb,-0.4
2020-03-17 09:54, ebb,-0.1
2020-03-17 16:54, ebb,-0.9
2020-03-17 21:30, slack,-
2020-03-17 23:36, flood,0.1
2020-03-18 01:42, slack,-
2020-03-18 08:24, ebb,-0.4
2020-03-18 12:30, ebb,-0.1
2020-03-18 18:00, ebb,-0.9
2020-03-18 23:18, slack,-
2020-03-19 01:12, flood,0.2
2020-03-19 04:24, slack,-
2020-03-19 09:36, ebb,-0.5
2020-03-19 13:30, slack,-
2020-03-19 19:06, ebb,-0.9
2020-03-20 00:18, slack,-
2020-03-20 02:12, flood,0.2
2020-03-20 05:48, slack,-
2020-03-20 10:18, ebb,-0.6
2020-03-20 14:24, slack,-
2020-03-20 20:12, ebb,-0.9
2020-03-21 01:00, slack,-
2020-03-21 03:12, flood,0.3
2020-03-21 06:30, slack,-
2020-03-21 10:48, ebb,-0.7
2020-03-21 14:24, slack,-
2020-03-21 16:06, slack,-
2020-03-21 21:18, ebb,-1.0
2020-03-22 01:30, slack,-
2020-03-22 03:54, flood,0.4
2020-03-22 07:00, slack,-
2020-03-22 11:12, ebb,-0.8
2020-03-22 14:48, slack,-
2020-03-22 16:00, flood,0.1
2020-03-22 17:00, slack,-
2020-03-22 22:06, ebb,-1.0
2020-03-23 02:00, slack,-
2020-03-23 04:24, flood,0.5
2020-03-23 07:24, slack,-
2020-03-23 11:30, ebb,-0.8
2020-03-23 15:18, slack,-
2020-03-23 16:30, flood,0.1
2020-03-23 17:42, slack,-
2020-03-23 22:36, ebb,-1.0
2020-03-24 02:30, slack,-
2020-03-24 04:54, flood,0.5
2020-03-24 07:54, slack,-
2020-03-24 11:42, ebb,-0.9
2020-03-24 15:36, slack,-
2020-03-24 16:54, flood,0.2
2020-03-24 18:24, slack,-
2020-03-24 23:06, ebb,-1.0
2020-03-25 03:00, slack,-
2020-03-25 05:24, flood,0.5
2020-03-25 08:18, slack,-
2020-03-25 12:00, ebb,-1.0
2020-03-25 15:54, slack,-
2020-03-25 17:18, flood,0.2
2020-03-25 19:00, slack,-
2020-03-25 23:42, ebb,-1.0
2020-03-26 03:30, slack,-
2020-03-26 05:48, flood,0.4
2020-03-26 08:36, slack,-
2020-03-26 12:30, ebb,-1.0
2020-03-26 16:12, slack,-
2020-03-26 17:42, flood,0.3
2020-03-26 19:36, slack,-
2020-03-27 00:12, ebb,-0.9
2020-03-27 04:06, slack,-
2020-03-27 06:06, flood,0.4
2020-03-27 08:48, slack,-
2020-03-27 13:06, ebb,-1.0
2020-03-27 16:36, slack,-
2020-03-27 18:12, flood,0.3
2020-03-27 20:12, slack,-
2020-03-28 00:42, ebb,-0.8
2020-03-28 04:30, slack,-
2020-03-28 06:24, flood,0.3
2020-03-28 08:54, slack,-
2020-03-28 13:42, ebb,-1.1
2020-03-28 17:06, slack,-
2020-03-28 18:48, flood,0.3
2020-03-28 20:54, slack,-
2020-03-29 01:24, ebb,-0.7
2020-03-29 04:54, slack,-
2020-03-29 06:48, flood,0.2
2020-03-29 08:48, slack,-
2020-03-29 14:24, ebb,-1.1
2020-03-29 17:54, slack,-
2020-03-29 19:30, flood,0.3
2020-03-29 21:30, slack,-
2020-03-30 01:48, ebb,-0.5
2020-03-30 05:12, slack,-
2020-03-30 07:06, flood,0.2
2020-03-30 08:48, slack,-
2020-03-30 15:06, ebb,-1.1
2020-03-30 18:48, slack,-
2020-03-30 20:18, flood,0.3
2020-03-30 22:06, slack,-
2020-03-31 01:24, ebb,-0.4
2020-03-31 05:42, slack,-
2020-03-31 07:18, flood,0.1
2020-03-31 08:54, slack,-
2020-03-31 15:54, ebb,-1.1
2020-03-31 19:54, slack,-
2020-03-31 21:06, flood,0.2
2020-03-31 22:48, slack,-
2020-04-01 02:00, ebb,-0.3
2020-04-01 06:36, slack,-
2020-04-01 08:48, slack,-
2020-04-01 16:54, ebb,-1.1
2020-04-01 21:06, slack,-
2020-04-01 22:12, flood,0.1
2020-04-02 00:00, slack,-
2020-04-02 03:06, ebb,-0.2
2020-04-02 05:12, ebb,-0.2
2020-04-02 08:06, slack,-
2020-04-02 17:54, ebb,-1.0
2020-04-02 22:18, slack,-
2020-04-02 23:54, flood,0.1
2020-04-03 02:06, slack,-
2020-04-03 06:48, ebb,-0.3
2020-04-03 08:36, ebb,-0.3
2020-04-03 13:06, ebb,-0.1
2020-04-03 18:54, ebb,-1.0
2020-04-03 23:06, slack,-
2020-04-04 01:00, flood,0.3
2020-04-04 03:30, slack,-
2020-04-04 08:24, ebb,-0.5
2020-04-04 14:06, slack,-
2020-04-04 19:54, ebb,-1.0
2020-04-04 23:42, slack,-
2020-04-05 01:48, flood,0.4
